"날짜","종가","오픈","고가","저가","변동 %"
"2017년 11월 09일","1,118.36","1,114.23","1,121.23","1,112.69","0.36%"
"2017년 11월 08일","1,114.31","1,113.93","1,116.60","1,112.08","0.03%"
"2017년 11월 07일","1,113.93","1,112.83","1,116.45","1,110.78","0.10%"
"2017년 11월 06일","1,112.84","1,115.90","1,119.81","1,110.94","-0.31%"
"2017년 11월 03일","1,116.29","1,112.35","1,117.83","1,110.90","0.35%"
"2017년 11월 02일","1,112.35","1,111.51","1,115.50","1,110.21","0.07%"
"2017년 11월 01일","1,111.52","1,118.42","1,119.90","1,109.35","-0.62%"
"2017년 10월 31일","1,118.42","1,124.78","1,125.15","1,116.02","-0.57%"
"2017년 10월 30일","1,124.78","1,125.98","1,127.60","1,123.56","-0.11%"
"2017년 10월 27일","1,125.97","1,128.76","1,132.70","1,125.19","-0.25%"
"2017년 10월 26일","1,128.75","1,127.81","1,129.49","1,121.92","0.08%"
"2017년 10월 25일","1,127.81","1,130.93","1,131.50","1,122.81","-0.28%"
"2017년 10월 24일","1,130.93","1,130.85","1,131.73","1,127.30","0.01%"
"2017년 10월 23일","1,130.86","1,132.19","1,135.70","1,129.10","-0.13%"
"2017년 10월 20일","1,132.31","1,129.01","1,134.50","1,128.45","0.29%"
"2017년 10월 19일","1,129.01","1,132.87","1,134.80","1,128.37","-0.34%"
"2017년 10월 18일","1,132.88","1,131.21","1,133.91","1,129.28","0.15%"
"2017년 10월 17일","1,131.21","1,128.28","1,133.80","1,127.86","0.26%"
"2017년 10월 16일","1,128.28","1,127.00","1,130.25","1,125.80","0.14%"
"2017년 10월 13일","1,126.67","1,132.89","1,134.60","1,124.84","-0.55%"
"2017년 10월 12일","1,132.89","1,132.91","1,137.31","1,130.54","-0.00%"
"2017년 10월 11일","1,132.91","1,135.21","1,138.50","1,130.89","-0.21%"
"2017년 10월 10일","1,135.31","1,143.81","1,144.01","1,131.57","-0.74%"
"2017년 10월 09일","1,143.82","1,145.51","1,146.11","1,142.36","-0.13%"
"2017년 10월 06일","1,145.32","1,142.41","1,145.85","1,141.38","0.25%"
"2017년 10월 05일","1,142.41","1,142.99","1,144.05","1,137.34","-0.05%"
"2017년 10월 04일","1,142.99","1,143.24","1,143.91","1,138.35","-0.02%"
"2017년 10월 03일","1,143.24","1,146.61","1,149.88","1,141.05","-0.29%"
"2017년 10월 02일","1,146.62","1,145.13","1,148.56","1,144.31","0.12%"
"2017년 09월 29일","1,145.30","1,146.59","1,147.81","1,141.77","-0.11%"
"2017년 09월 28일","1,146.58","1,145.75","1,151.65","1,142.80","0.07%"
"2017년 09월 27일","1,145.76","1,137.62","1,146.06","1,137.12","0.72%"
"2017년 09월 26일","1,137.62","1,134.80","1,140.68","1,134.66","0.25%"
"2017년 09월 25일","1,134.80","1,132.91","1,137.43","1,129.43","0.15%"
"2017년 09월 22일","1,133.13","1,132.77","1,140.51","1,130.20","0.03%"
"2017년 09월 21일","1,132.76","1,131.79","1,135.76","1,130.90","0.09%"
"2017년 09월 20일","1,131.79","1,131.18","1,133.96","1,125.57","0.05%"
"2017년 09월 19일","1,131.18","1,129.85","1,132.60","1,127.90","0.12%"
"2017년 09월 18일","1,129.86","1,133.76","1,135.56","1,126.02","-0.30%"
"2017년 09월 15일","1,133.21","1,134.32","1,137.40","1,128.26","-0.10%"
"2017년 09월 14일","1,134.32","1,132.08","1,136.41","1,131.02","0.20%"
"2017년 09월 13일","1,132.08","1,128.69","1,133.07","1,125.81","0.30%"
"2017년 09월 12일","1,128.69","1,130.34","1,131.90","1,126.76","-0.15%"
"2017년 09월 11일","1,130.34","1,132.05","1,135.08","1,126.80","-0.14%"
"2017년 09월 08일","1,131.97","1,127.89","1,134.86","1,125.63","0.36%"
"2017년 09월 07일","1,127.89","1,132.86","1,132.93","1,126.06","-0.44%"
"2017년 09월 06일","1,132.85","1,132.52","1,137.30","1,130.61","0.03%"
"2017년 09월 05일","1,132.52","1,133.39","1,134.60","1,128.12","-0.08%"
"2017년 09월 04일","1,133.39","1,121.71","1,134.70","1,119.46","1.04%"
"2017년 09월 01일","1,121.69","1,124.86","1,125.76","1,118.32","-0.28%"
"2017년 08월 31일","1,124.86","1,124.18","1,129.20","1,122.77","0.06%"
"2017년 08월 30일","1,124.18","1,124.51","1,125.76","1,121.27","-0.03%"
"2017년 08월 29일","1,124.52","1,118.47","1,129.61","1,118.47","0.54%"
"2017년 08월 28일","1,118.47","1,121.90","1,122.61","1,118.19","-0.28%"
"2017년 08월 25일","1,121.60","1,128.23","1,132.40","1,120.41","-0.59%"
"2017년 08월 24일","1,128.23","1,127.57","1,129.50","1,126.41","0.06%"
"2017년 08월 23일","1,127.58","1,132.38","1,134.31","1,126.45","-0.42%"
"2017년 08월 22일","1,132.38","1,138.71","1,139.40","1,132.16","-0.56%"
"2017년 08월 21일","1,138.71","1,139.75","1,140.70","1,136.80","-0.09%"
"2017년 08월 18일","1,139.78","1,142.18","1,145.01","1,138.30","-0.24%"
"2017년 08월 17일","1,142.50","1,135.60","1,142.68","1,134.45","0.61%"
"2017년 08월 16일","1,135.60","1,135.93","1,144.00","1,134.65","-0.03%"
"2017년 08월 15일","1,135.93","1,139.41","1,140.15","1,133.27","-0.31%"
"2017년 08월 14일","1,139.41","1,142.90","1,143.25","1,136.36","-0.30%"
"2017년 08월 11일","1,142.86","1,144.17","1,149.00","1,141.23","-0.11%"
"2017년 08월 10일","1,144.17","1,139.40","1,146.61","1,138.02","0.42%"
"2017년 08월 09일","1,139.40","1,128.99","1,141.16","1,126.37","0.91%"
"2017년 08월 08일","1,129.18","1,127.15","1,129.67","1,123.90","0.18%"
"2017년 08월 07일","1,127.15","1,128.65","1,130.10","1,126.41","-0.14%"
"2017년 08월 04일","1,128.78","1,128.95","1,130.62","1,123.30","-0.02%"
"2017년 08월 03일","1,128.95","1,122.97","1,130.80","1,122.77","0.53%"
"2017년 08월 02일","1,122.97","1,121.54","1,126.81","1,120.38","0.13%"
"2017년 08월 01일","1,121.54","1,119.40","1,123.59","1,115.61","0.19%"
"2017년 07월 31일","1,119.40","1,124.30","1,126.10","1,118.90","-0.47%"
"2017년 07월 28일","1,124.69","1,117.36","1,126.12","1,115.90","0.66%"
"2017년 07월 27일","1,117.35","1,112.60","1,117.99","1,110.90","0.43%"
"2017년 07월 26일","1,112.60","1,120.01","1,123.30","1,112.15","-0.66%"
"2017년 07월 25일","1,120.02","1,115.40","1,120.76","1,114.63","0.41%"
"2017년 07월 24일","1,115.40","1,118.90","1,119.61","1,112.31","-0.31%"
"2017년 07월 21일","1,118.84","1,121.24","1,124.41","1,116.80","-0.21%"
"2017년 07월 20일","1,121.24","1,124.59","1,127.57","1,120.95","-0.30%"
"2017년 07월 19일","1,124.60","1,125.30","1,125.41","1,120.28","-0.06%"
"2017년 07월 18일","1,125.29","1,128.39","1,131.00","1,122.30","-0.27%"
"2017년 07월 17일","1,128.39","1,129.01","1,130.81","1,126.31","-0.06%"
"2017년 07월 14일","1,129.10","1,137.86","1,139.63","1,126.69","-0.77%"
"2017년 07월 13일","1,137.85","1,138.31","1,140.70","1,134.80","-0.04%"
"2017년 07월 12일","1,138.32","1,149.17","1,149.61","1,137.36","-0.94%"
"2017년 07월 11일","1,149.17","1,149.58","1,153.35","1,148.16","-0.04%"
"2017년 07월 10일","1,149.58","1,153.81","1,154.91","1,148.31","-0.36%"
"2017년 07월 07일","1,153.74","1,157.25","1,158.75","1,152.76","-0.30%"
"2017년 07월 06일","1,157.26","1,153.34","1,158.70","1,150.83","0.34%"
"2017년 07월 05일","1,153.34","1,150.73","1,156.06","1,147.59","0.23%"
"2017년 07월 04일","1,150.73","1,150.28","1,152.89","1,147.37","0.04%"
"2017년 07월 03일","1,150.28","1,145.61","1,150.69","1,141.57","0.42%"
"2017년 06월 30일","1,145.43","1,147.30","1,147.72","1,141.56","-0.16%"
"2017년 06월 29일","1,147.30","1,138.93","1,149.31","1,138.01","0.73%"
"2017년 06월 28일","1,138.93","1,140.55","1,146.72","1,138.68","-0.14%"
"2017년 06월 27일","1,140.56","1,133.52","1,141.42","1,133.43","0.62%"
"2017년 06월 26일","1,133.52","1,134.65","1,138.40","1,132.11","-0.12%"
"2017년 06월 23일","1,134.89","1,139.31","1,142.90","1,132.86","-0.39%"
"2017년 06월 22일","1,139.30","1,143.32","1,144.03","1,138.76","-0.35%"
"2017년 06월 21일","1,143.32","1,141.93","1,145.46","1,139.58","0.12%"
"2017년 06월 20일","1,141.93","1,136.78","1,143.53","1,135.34","0.45%"
"2017년 06월 19일","1,136.78","1,132.56","1,137.86","1,129.01","0.33%"
"2017년 06월 16일","1,133.08","1,130.84","1,139.01","1,127.80","0.20%"
"2017년 06월 15일","1,130.84","1,119.93","1,132.59","1,118.81","0.97%"
"2017년 06월 14일","1,119.93","1,127.73","1,128.31","1,116.30","-0.69%"
"2017년 06월 13일","1,127.73","1,130.97","1,131.59","1,126.65","-0.29%"
"2017년 06월 12일","1,130.97","1,125.36","1,133.26","1,123.61","0.50%"
"2017년 06월 09일","1,125.30","1,121.95","1,126.02","1,119.57","0.30%"
"2017년 06월 08일","1,121.95","1,124.29","1,128.01","1,121.86","-0.21%"
"2017년 06월 07일","1,124.28","1,118.07","1,126.00","1,117.93","0.55%"
"2017년 06월 06일","1,118.08","1,118.32","1,122.54","1,115.49","-0.02%"
"2017년 06월 05일","1,118.31","1,118.35","1,120.93","1,115.78","-0.01%"
"2017년 06월 02일","1,118.39","1,122.13","1,124.51","1,117.77","-0.33%"
"2017년 06월 01일","1,122.13","1,119.65","1,124.22","1,118.40","0.22%"
"2017년 05월 31일","1,119.65","1,124.49","1,125.16","1,117.56","-0.43%"
"2017년 05월 30일","1,124.49","1,122.06","1,126.90","1,121.76","0.22%"
"2017년 05월 29일","1,122.05","1,119.04","1,123.12","1,118.40","0.29%"
"2017년 05월 26일","1,118.84","1,120.36","1,122.65","1,115.76","-0.14%"
"2017년 05월 25일","1,120.36","1,119.23","1,122.51","1,116.31","0.10%"
"2017년 05월 24일","1,119.23","1,125.46","1,128.81","1,118.90","-0.55%"
"2017년 05월 23일","1,125.46","1,116.03","1,126.47","1,115.40","0.84%"
"2017년 05월 22일","1,116.04","1,118.15","1,119.90","1,114.48","-0.14%"
"2017년 05월 19일","1,117.62","1,129.19","1,131.97","1,115.76","-1.02%"
"2017년 05월 18일","1,129.19","1,123.06","1,134.39","1,122.56","0.55%"
"2017년 05월 17일","1,123.06","1,116.07","1,123.26","1,115.07","0.63%"
"2017년 05월 16일","1,116.06","1,118.11","1,120.33","1,113.95","-0.18%"
"2017년 05월 15일","1,118.12","1,123.37","1,128.04","1,115.64","-0.47%"
"2017년 05월 12일","1,123.41","1,124.41","1,130.65","1,121.99","-0.09%"
"2017년 05월 11일","1,124.41","1,132.06","1,134.95","1,123.58","-0.67%"
"2017년 05월 10일","1,132.05","1,139.15","1,139.53","1,131.47","-0.62%"
"2017년 05월 09일","1,139.15","1,133.69","1,140.73","1,133.06","0.48%"
"2017년 05월 08일","1,133.69","1,135.15","1,138.15","1,130.34","-0.18%"
"2017년 05월 05일","1,135.71","1,135.60","1,142.13","1,135.53","0.01%"
"2017년 05월 04일","1,135.60","1,133.95","1,137.08","1,129.69","0.15%"
"2017년 05월 03일","1,133.95","1,129.20","1,134.48","1,128.36","0.42%"
"2017년 05월 02일","1,129.20","1,137.60","1,137.89","1,127.15","-0.74%"
"2017년 05월 01일","1,137.60","1,137.74","1,140.08","1,135.51","-0.02%"
"2017년 04월 28일","1,137.88","1,131.65","1,141.36","1,129.21","0.55%"
"2017년 04월 27일","1,131.65","1,133.04","1,136.48","1,128.45","-0.12%"
"2017년 04월 26일","1,133.03","1,128.23","1,137.39","1,121.90","0.43%"
"2017년 04월 25일","1,128.23","1,134.38","1,137.45","1,124.26","-0.54%"
"2017년 04월 24일","1,134.38","1,134.71","1,139.79","1,126.08","-0.02%"
"2017년 04월 21일","1,134.57","1,138.11","1,140.90","1,132.90","-0.31%"
"2017년 04월 20일","1,138.12","1,143.69","1,145.31","1,135.57","-0.49%"
"2017년 04월 19일","1,143.69","1,142.64","1,144.65","1,137.81","0.09%"
"2017년 04월 18일","1,142.64","1,133.01","1,148.82","1,132.49","0.85%"
"2017년 04월 17일","1,133.02","1,136.34","1,139.62","1,131.41","-0.30%"
"2017년 04월 14일","1,136.45","1,136.33","1,142.08","1,135.40","0.01%"
"2017년 04월 13일","1,136.32","1,134.95","1,138.90","1,126.19","0.12%"
"2017년 04월 12일","1,134.95","1,145.63","1,150.30","1,134.49","-0.93%"
"2017년 04월 11일","1,145.63","1,143.47","1,150.61","1,141.17","0.19%"
"2017년 04월 10일","1,143.47","1,137.92","1,144.82","1,136.99","0.49%"
"2017년 04월 07일","1,137.89","1,131.30","1,140.81","1,130.44","0.58%"
"2017년 04월 06일","1,131.30","1,128.28","1,135.04","1,126.78","0.27%"
"2017년 04월 05일","1,128.28","1,125.10","1,129.15","1,121.97","0.28%"
"2017년 04월 04일","1,125.10","1,117.28","1,127.22","1,116.80","0.70%"
"2017년 04월 03일","1,117.28","1,116.90","1,119.54","1,112.27","-0.03%"
"2017년 03월 31일","1,117.65","1,118.60","1,122.68","1,116.14","-0.08%"
"2017년 03월 30일","1,118.60","1,111.47","1,119.81","1,110.19","0.64%"
"2017년 03월 29일","1,111.47","1,116.41","1,117.31","1,110.80","-0.44%"
"2017년 03월 28일","1,116.41","1,111.32","1,117.15","1,110.89","0.46%"
"2017년 03월 27일","1,111.32","1,117.14","1,117.58","1,106.64","-0.56%"
"2017년 03월 24일","1,117.56","1,122.68","1,125.61","1,113.49","-0.46%"
"2017년 03월 23일","1,122.68","1,117.28","1,124.64","1,116.79","0.48%"
"2017년 03월 22일","1,117.28","1,123.03","1,127.60","1,116.59","-0.51%"
"2017년 03월 21일","1,123.03","1,114.51","1,124.31","1,114.09","0.76%"
"2017년 03월 20일","1,114.52","1,129.05","1,131.31","1,112.59","-1.29%"
"2017년 03월 17일","1,129.04","1,128.82","1,134.14","1,127.39","0.02%"
"2017년 03월 16일","1,128.82","1,128.62","1,134.70","1,125.86","0.02%"
"2017년 03월 15일","1,128.62","1,149.97","1,150.84","1,127.60","-1.86%"
"2017년 03월 14일","1,149.97","1,147.59","1,151.20","1,145.35","0.17%"
"2017년 03월 13일","1,147.99","1,149.12","1,153.01","1,144.15","-0.07%"
"2017년 03월 10일","1,148.81","1,160.09","1,162.03","1,148.19","-0.97%"
"2017년 03월 09일","1,160.10","1,154.80","1,161.45","1,153.10","0.43%"
"2017년 03월 08일","1,155.19","1,151.08","1,156.88","1,143.67","0.39%"
"2017년 03월 07일","1,150.67","1,155.15","1,158.11","1,146.19","-0.39%"
"2017년 03월 06일","1,155.15","1,152.41","1,159.40","1,152.12","0.25%"
"2017년 03월 03일","1,152.32","1,150.71","1,159.85","1,147.70","0.14%"
"2017년 03월 02일","1,150.71","1,140.23","1,152.53","1,139.80","0.92%"
"2017년 03월 01일","1,140.23","1,137.39","1,146.42","1,137.01","0.21%"
"2017년 02월 28일","1,137.80","1,135.06","1,138.19","1,124.96","0.28%"
"2017년 02월 27일","1,134.65","1,130.51","1,135.21","1,129.30","0.37%"
"2017년 02월 24일","1,130.50","1,132.59","1,134.80","1,127.40","-0.23%"
"2017년 02월 23일","1,133.10","1,138.48","1,142.70","1,129.19","-0.47%"
"2017년 02월 22일","1,138.48","1,142.89","1,145.83","1,137.69","-0.39%"
"2017년 02월 21일","1,142.89","1,145.38","1,149.81","1,141.60","-0.22%"
"2017년 02월 20일","1,145.38","1,150.62","1,151.57","1,144.89","-0.47%"
"2017년 02월 17일","1,150.78","1,141.99","1,152.68","1,141.49","0.77%"
"2017년 02월 16일","1,141.99","1,135.28","1,144.04","1,133.74","0.59%"
"2017년 02월 15일","1,135.28","1,138.89","1,146.01","1,133.19","-0.32%"
"2017년 02월 14일","1,138.89","1,149.71","1,151.40","1,134.60","-0.94%"
"2017년 02월 13일","1,149.71","1,146.59","1,155.40","1,146.17","0.27%"
"2017년 02월 10일","1,146.60","1,151.03","1,155.40","1,145.69","-0.38%"
"2017년 02월 09일","1,151.02","1,145.20","1,152.28","1,142.92","0.51%"
"2017년 02월 08일","1,145.20","1,143.39","1,149.56","1,142.16","0.16%"
"2017년 02월 07일","1,143.39","1,134.60","1,148.48","1,133.19","0.74%"
"2017년 02월 06일","1,134.99","1,138.77","1,141.01","1,131.51","-0.31%"
"2017년 02월 03일","1,138.52","1,144.10","1,149.51","1,134.16","-0.49%"
"2017년 02월 02일","1,144.10","1,153.71","1,155.20","1,137.63","-0.83%"
"2017년 02월 01일","1,153.71","1,151.65","1,159.40","1,149.89","0.18%"
"2017년 01월 31일","1,151.65","1,170.71","1,171.11","1,147.99","-1.63%"
"2017년 01월 30일","1,170.71","1,178.40","1,179.43","1,169.60","-0.69%"
"2017년 01월 27일","1,178.82","1,171.99","1,180.93","1,170.69","0.55%"
"2017년 01월 26일","1,172.39","1,163.11","1,173.12","1,156.70","0.83%"
"2017년 01월 25일","1,162.70","1,170.23","1,170.35","1,161.67","-0.64%"
"2017년 01월 24일","1,170.23","1,163.23","1,170.77","1,160.77","0.60%"
"2017년 01월 23일","1,163.23","1,175.36","1,176.01","1,162.80","-1.03%"
"2017년 01월 20일","1,175.39","1,175.18","1,178.45","1,168.63","0.02%"
"2017년 01월 19일","1,175.18","1,178.37","1,181.53","1,174.36","-0.27%"
"2017년 01월 18일","1,178.38","1,160.84","1,178.95","1,160.39","1.51%"
"2017년 01월 17일","1,160.84","1,183.38","1,188.11","1,160.15","-1.90%"
"2017년 01월 16일","1,183.38","1,175.06","1,185.55","1,175.05","0.71%"
"2017년 01월 13일","1,175.00","1,175.91","1,181.40","1,171.77","-0.08%"
"2017년 01월 12일","1,175.91","1,187.88","1,188.18","1,171.31","-1.01%"
"2017년 01월 11일","1,187.88","1,201.80","1,203.36","1,184.49","-1.16%"
"2017년 01월 10일","1,201.80","1,203.36","1,204.26","1,194.09","-0.13%"
"2017년 01월 09일","1,203.36","1,202.01","1,209.61","1,201.09","0.11%"
"2017년 01월 06일","1,202.00","1,181.79","1,202.33","1,180.19","1.68%"
"2017년 01월 05일","1,182.19","1,196.56","1,196.72","1,181.17","-1.17%"
"2017년 01월 04일","1,196.15","1,206.82","1,210.11","1,194.89","-0.88%"
"2017년 01월 03일","1,206.82","1,203.93","1,212.81","1,201.39","0.24%"
"2017년 01월 02일","1,203.93","1,206.85","1,210.70","1,203.19","-0.28%"
"2016년 12월 30일","1,207.26","1,206.39","1,208.29","1,200.73","0.07%"
"2016년 12월 29일","1,206.39","1,211.93","1,212.42","1,205.60","-0.46%"
"2016년 12월 28일","1,211.93","1,207.67","1,215.11","1,205.61","0.35%"
"2016년 12월 27일","1,207.67","1,200.36","1,209.48","1,199.89","0.56%"
"2016년 12월 26일","1,200.99","1,200.36","1,202.72","1,198.05","0.05%"
"2016년 12월 23일","1,200.36","1,205.26","1,206.11","1,199.90","-0.41%"
"2016년 12월 22일","1,205.26","1,194.19","1,207.76","1,193.60","0.93%"
"2016년 12월 21일","1,194.19","1,192.21","1,198.26","1,191.76","0.17%"
"2016년 12월 20일","1,192.21","1,187.69","1,196.56","1,187.56","0.34%"
"2016년 12월 19일","1,188.14","1,186.89","1,191.98","1,184.16","0.13%"
"2016년 12월 16일","1,186.58","1,183.39","1,189.38","1,181.15","0.27%"
"2016년 12월 15일","1,183.39","1,179.72","1,187.89","1,177.56","0.31%"
"2016년 12월 14일","1,179.72","1,164.30","1,180.90","1,163.18","1.32%"
"2016년 12월 13일","1,164.30","1,164.73","1,169.70","1,162.35","-0.04%"
"2016년 12월 12일","1,164.73","1,172.91","1,174.90","1,162.69","-0.70%"
"2016년 12월 09일","1,172.89","1,162.38","1,175.06","1,162.38","0.87%"
"2016년 12월 08일","1,162.79","1,158.68","1,166.43","1,157.20","0.39%"
"2016년 12월 07일","1,158.28","1,171.54","1,173.40","1,157.89","-1.13%"
"2016년 12월 06일","1,171.54","1,167.15","1,173.40","1,166.38","0.38%"
"2016년 12월 05일","1,167.15","1,172.70","1,176.63","1,166.17","-0.01%"
"2016년 12월 02일","1,167.32","1,167.73","1,175.21","1,164.69","-0.04%"
"2016년 12월 01일","1,167.73","1,177.39","1,179.78","1,166.69","-0.85%"
"2016년 11월 30일","1,177.80","1,168.15","1,179.45","1,166.65","0.86%"
"2016년 11월 29일","1,167.76","1,171.89","1,175.06","1,166.73","-0.35%"
"2016년 11월 28일","1,171.89","1,175.69","1,176.84","1,168.07","-0.33%"
"2016년 11월 25일","1,175.77","1,182.14","1,183.70","1,174.51","-0.54%"
"2016년 11월 24일","1,182.14","1,181.49","1,185.51","1,177.25","0.02%"
"2016년 11월 23일","1,181.89","1,170.47","1,186.11","1,169.06","1.01%"
"2016년 11월 22일","1,170.08","1,180.19","1,181.02","1,169.49","-0.86%"
"2016년 11월 21일","1,180.19","1,181.09","1,187.81","1,176.09","-0.08%"
"2016년 11월 18일","1,181.08","1,180.02","1,186.89","1,173.90","0.09%"
"2016년 11월 17일","1,180.02","1,170.69","1,181.19","1,168.48","0.80%"
"2016년 11월 16일","1,170.69","1,167.63","1,178.10","1,164.76","0.26%"
"2016년 11월 15일","1,167.63","1,168.91","1,173.31","1,163.67","-0.11%"
"2016년 11월 14일","1,168.91","1,165.40","1,176.91","1,165.39","0.29%"
"2016년 11월 11일","1,165.58","1,166.39","1,171.77","1,160.08","-0.07%"
"2016년 11월 10일","1,166.39","1,157.49","1,168.07","1,146.61","0.73%"
"2016년 11월 09일","1,157.89","1,129.34","1,159.01","1,129.02","2.57%"
"2016년 11월 08일","1,128.93","1,141.67","1,142.51","1,128.06","-1.12%"
"2016년 11월 07일","1,141.67","1,141.45","1,145.29","1,138.40","0.02%"
"2016년 11월 04일","1,141.45","1,144.47","1,147.20","1,139.18","-0.26%"
"2016년 11월 03일","1,144.47","1,145.06","1,146.53","1,136.56","-0.05%"
"2016년 11월 02일","1,145.06","1,145.86","1,153.01","1,141.95","-0.07%"
"2016년 11월 01일","1,145.85","1,142.73","1,148.34","1,139.10","0.27%"
"2016년 10월 31일","1,142.73","1,147.27","1,149.81","1,140.42","-0.40%"
"2016년 10월 28일","1,147.32","1,147.41","1,149.94","1,143.52","-0.01%"
"2016년 10월 27일","1,147.41","1,138.76","1,149.05","1,136.90","0.76%"
"2016년 10월 26일","1,138.76","1,130.23","1,139.23","1,128.83","0.75%"
"2016년 10월 25일","1,130.23","1,135.60","1,140.40","1,129.80","-0.47%"
"2016년 10월 24일","1,135.60","1,136.15","1,138.01","1,129.67","-0.05%"
"2016년 10월 21일","1,136.21","1,131.13","1,140.80","1,129.60","0.45%"
"2016년 10월 20일","1,131.13","1,120.36","1,132.38","1,118.69","0.96%"
"2016년 10월 19일","1,120.36","1,125.13","1,126.43","1,119.94","-0.42%"
"2016년 10월 18일","1,125.13","1,136.56","1,137.47","1,124.04","-1.01%"
"2016년 10월 17일","1,136.56","1,136.61","1,144.51","1,135.90","0.01%"
"2016년 10월 14일","1,136.41","1,129.69","1,137.51","1,128.69","0.59%"
"2016년 10월 13일","1,129.69","1,125.52","1,138.61","1,124.30","0.37%"
"2016년 10월 12일","1,125.51","1,124.99","1,129.39","1,121.49","0.05%"
"2016년 10월 11일","1,124.99","1,108.63","1,127.26","1,107.49","1.48%"
"2016년 10월 10일","1,108.63","1,115.81","1,117.26","1,107.49","-0.64%"
"2016년 10월 07일","1,115.76","1,115.36","1,118.69","1,110.52","0.04%"
"2016년 10월 06일","1,115.36","1,115.02","1,118.83","1,109.68","0.03%"
"2016년 10월 05일","1,115.02","1,116.58","1,117.90","1,111.56","-0.14%"
"2016년 10월 04일","1,116.58","1,104.13","1,117.80","1,102.15","1.13%"
"2016년 10월 03일","1,104.13","1,101.81","1,105.80","1,099.34","0.20%"
"2016년 09월 30일","1,101.91","1,102.67","1,106.97","1,097.87","-0.07%"
"2016년 09월 29일","1,102.67","1,092.30","1,105.36","1,091.61","0.92%"
"2016년 09월 28일","1,092.60","1,097.23","1,100.08","1,092.51","-0.39%"
"2016년 09월 27일","1,096.93","1,108.91","1,113.90","1,094.15","-1.08%"
"2016년 09월 26일","1,108.91","1,104.36","1,110.88","1,102.60","0.44%"
"2016년 09월 23일","1,104.01","1,103.34","1,107.61","1,099.47","0.06%"
"2016년 09월 22일","1,103.34","1,103.84","1,107.01","1,097.07","-0.05%"
"2016년 09월 21일","1,103.84","1,117.20","1,123.61","1,102.26","-1.20%"
"2016년 09월 20일","1,117.20","1,119.45","1,122.20","1,116.59","-0.20%"
"2016년 09월 19일","1,119.45","1,125.89","1,126.40","1,116.77","-0.59%"
"2016년 09월 16일","1,126.05","1,124.89","1,128.70","1,119.68","0.10%"
"2016년 09월 15일","1,124.89","1,126.57","1,134.36","1,122.59","-0.15%"
"2016년 09월 14일","1,126.57","1,128.16","1,129.78","1,123.07","-0.14%"
"2016년 09월 13일","1,128.16","1,107.68","1,130.14","1,107.30","1.85%"
"2016년 09월 12일","1,107.68","1,109.91","1,118.49","1,106.99","-0.09%"
"2016년 09월 09일","1,108.73","1,098.63","1,109.50","1,096.87","0.92%"
"2016년 09월 08일","1,098.63","1,090.70","1,099.05","1,088.45","0.73%"
"2016년 09월 07일","1,090.70","1,094.63","1,097.10","1,086.71","-0.36%"
"2016년 09월 06일","1,094.64","1,104.55","1,108.80","1,093.86","-0.90%"
"2016년 09월 05일","1,104.55","1,116.70","1,117.36","1,103.57","-1.07%"
"2016년 09월 02일","1,116.45","1,118.09","1,120.61","1,108.45","-0.15%"
"2016년 09월 01일","1,118.09","1,116.30","1,124.72","1,114.43","0.16%"
"2016년 08월 31일","1,116.30","1,120.24","1,121.70","1,113.55","-0.35%"
"2016년 08월 30일","1,120.24","1,120.09","1,121.59","1,113.41","0.01%"
"2016년 08월 29일","1,120.08","1,123.05","1,129.30","1,120.01","-0.22%"
"2016년 08월 26일","1,122.51","1,115.82","1,124.01","1,107.45","0.60%"
"2016년 08월 25일","1,115.82","1,121.39","1,124.61","1,114.86","-0.50%"
"2016년 08월 24일","1,121.39","1,120.58","1,125.50","1,118.33","0.07%"
"2016년 08월 23일","1,120.58","1,123.73","1,123.88","1,114.79","-0.28%"
"2016년 08월 22일","1,123.74","1,116.66","1,129.61","1,115.49","0.73%"
"2016년 08월 19일","1,115.57","1,108.13","1,123.54","1,107.31","0.67%"
"2016년 08월 18일","1,108.14","1,108.07","1,112.59","1,103.36","0.01%"
"2016년 08월 17일","1,108.07","1,095.86","1,116.51","1,094.49","1.11%"
"2016년 08월 16일","1,095.86","1,097.91","1,099.51","1,089.61","-0.19%"
"2016년 08월 15일","1,097.91","1,103.16","1,105.28","1,096.16","-0.51%"
"2016년 08월 12일","1,103.49","1,097.80","1,107.20","1,097.09","0.51%"
"2016년 08월 11일","1,097.85","1,096.44","1,104.36","1,094.36","0.13%"
"2016년 08월 10일","1,096.44","1,103.05","1,104.50","1,092.51","-0.60%"
"2016년 08월 09일","1,103.05","1,107.90","1,111.51","1,100.94","-0.41%"
"2016년 08월 08일","1,107.55","1,115.85","1,117.80","1,106.23","-0.69%"
"2016년 08월 05일","1,115.27","1,113.59","1,116.56","1,107.89","0.12%"
"2016년 08월 04일","1,113.94","1,117.36","1,117.60","1,112.35","-0.27%"
"2016년 08월 03일","1,117.00","1,111.75","1,120.30","1,110.52","0.47%"
"2016년 08월 02일","1,111.75","1,108.09","1,113.00","1,105.89","0.30%"
"2016년 08월 01일","1,108.44","1,111.81","1,115.56","1,103.14","-0.34%"
"2016년 07월 29일","1,112.24","1,124.95","1,126.45","1,111.44","-1.10%"
"2016년 07월 28일","1,124.60","1,131.63","1,131.75","1,123.36","-0.62%"
